sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0160,sample,Succinic_acid,met,117.019,690,2177444,673.89,696.36
MLMET0136,sample,Succinic_acid,met,117.019,690,17926214,674.09,696.56
Blank-r002,blank,Succinic_acid,met,117.019,690,131064,671.15,693.62
MLMET0120,sample,Succinic_acid,met,117.019,690,7200037,671.04,693.51
MLMET0122,sample,Succinic_acid,met,117.019,690,12245995,670.59,693.06
MLMET0161,sample,Succinic_acid,met,117.019,690,31142068,670.61,693.08
MLMET0119,sample,Succinic_acid,met,117.019,690,18206137,669.43,691.9
MLMET0091,sample,Succinic_acid,met,117.019,690,19022642,669.5,691.97
MLMET0135,filter,Succinic_acid,met,117.019,690,1255588,674.38,696.84
MLMET0187,sample,Succinic_acid,met,117.019,690,1099689,674.78,697.25
MLMET0163,sample,Succinic_acid,met,117.019,690,1032620,672.12,694.58
MLMET0066,filter,Succinic_acid,met,117.019,690,82926868,672.1,694.56
MLMET0067,filter,Succinic_acid,met,117.019,690,4316069,674.83,697.29
MLMET0162,sample,Succinic_acid,met,117.019,690,30569362,674.43,696.89
MLMET0092,sample,Succinic_acid,met,117.019,690,45154121,673.14,695.6
MLMET0140,sample,Succinic_acid,met,117.019,690,3910926,672.9,695.37
MLMET0123,sample,Succinic_acid,met,117.019,690,8292677,676.08,698.55
Blank-r001,blank,Succinic_acid,met,117.019,690,161225,675.93,698.4
MLMET0089,filter,Succinic_acid,met,117.019,690,4147140,672.43,694.9
MLMET0179,filter,Succinic_acid,met,117.019,690,655133,672.71,695.17
MLMET0183,sample,Succinic_acid,met,117.019,690,3123047,675.26,697.73
MLMET0166,sample,Succinic_acid,met,117.019,690,4891689,675.05,697.51
MLMET0125,filter,Succinic_acid,met,117.019,690,1901080,672.46,694.92
MLMET0182,sample,Succinic_acid,met,117.019,690,25225935,672.73,695.2
MLMET0069,sample,Succinic_acid,met,117.019,690,195435236,675.32,697.79
MLMET0124,sample,Succinic_acid,met,117.019,690,3120274,674.98,697.44
MLMET0121,sample,Succinic_acid,met,117.019,690,31071499,671.88,694.35
MLMET0090,filter,Succinic_acid,met,117.019,690,7210731,671.94,694.41
MLMET0159,filter,Succinic_acid,met,117.019,690,930110,674.39,696.85
MLMET0097,sample,Succinic_acid,met,117.019,690,32285547,674.36,696.83
MLMET0071,sample,Succinic_acid,met,117.019,690,61424389,672.06,694.52
MLMET0185,sample,Succinic_acid,met,117.019,690,17194254,672.33,694.8
MLMET0070,sample,Succinic_acid,met,117.019,690,312538070,674.67,697.14
MLMET0095,sample,Succinic_acid,met,117.019,690,45117673,674.75,697.22
MLMET0142,sample,Succinic_acid,met,117.019,690,2852177,672.52,694.98
MLMET0139,sample,Succinic_acid,met,117.019,690,1391896,672.66,695.12
MLMET0068,sample,Succinic_acid,met,117.019,690,37399801,675,697.46
MLMET0138,sample,Succinic_acid,met,117.019,690,24183741,674.91,697.37
MLMET0072,sample,Succinic_acid,met,117.019,690,58806172,672.37,694.84
MLMET0093,sample,Succinic_acid,met,117.019,690,131405856,672.47,694.94
MLMET0164,sample,Succinic_acid,met,117.019,690,2326822,675.38,697.84
MLMET0181,sample,Succinic_acid,met,117.019,690,51820306,675.63,698.09
MLMET0096,sample,Succinic_acid,met,117.019,690,63178208,672.72,695.19
RCY308_control-r001,control,Succinic_acid,met,117.019,690,8450403,672.72,695.19
MLMET0098,sample,Succinic_acid,met,117.019,690,10919950,675.07,697.54
MLMET0178,filter,Succinic_acid,met,117.019,690,1361466,675.21,697.68
MLMET0137,sample,Succinic_acid,met,117.019,690,5663084,672,694.46
MLMET0141,sample,Succinic_acid,met,117.019,690,3074542,672.23,694.7
MLMET0116,filter,Succinic_acid,met,117.019,690,6590805,675.33,697.79
MLMET0165,sample,Succinic_acid,met,117.019,690,18834391,675.05,697.52
MLMET0073,sample,Succinic_acid,met,117.019,690,93138262,672.69,695.15
MLMET0075,sample,Succinic_acid,met,117.019,690,21319839,672.55,695.01
MLMET0180,sample,Succinic_acid,met,117.019,690,7062598,675.13,697.6
MLMET0143,sample,Succinic_acid,met,117.019,690,1810121,675.21,697.68
MLMET0167,sample,Succinic_acid,met,117.019,690,20961033,672.12,694.58
MLMET0118,sample,Succinic_acid,met,117.019,690,73796353,672.05,694.52
MLMET0184,sample,Succinic_acid,met,117.019,690,1770719,674.56,697.02
all_ss-r001,stds,Succinic_acid,met,117.019,690,469784,674.72,697.19
MLMET0168,sample,Succinic_acid,met,117.019,690,1054258,672.07,694.53
MLMET0094,sample,Succinic_acid,met,117.019,690,14638407,672.33,694.79
RCY308_control-r002,control,Succinic_acid,met,117.019,690,8978168,675.24,697.71
MLMET0074,sample,Succinic_acid,met,117.019,690,110670806,675,697.46
all_ss-r002,stds,Succinic_acid,met,117.019,690,410845,672.82,695.29
MLMET0186,sample,Succinic_acid,met,117.019,690,16906531,672.53,695
MLMET0117,filter,Succinic_acid,met,117.019,690,4130246,674.79,697.25
MLMET0144,filter,Succinic_acid,met,117.019,690,938761,674.68,697.14
MLMET0135,filter,Succinic_acid,ref,121.033,690,4865686,671.88,694.35
MLMET0182,sample,Succinic_acid,ref,121.033,690,2727600,672.23,694.7
MLMET0067,filter,Succinic_acid,ref,121.033,690,26522165,674.83,697.29
MLMET0160,sample,Succinic_acid,ref,121.033,690,3670277,674.39,696.86
MLMET0161,sample,Succinic_acid,ref,121.033,690,2452222,672.61,695.08
MLMET0136,sample,Succinic_acid,ref,121.033,690,3913944,672.6,695.06
MLMET0069,sample,Succinic_acid,ref,121.033,690,17084228,674.82,697.29
MLMET0095,sample,Succinic_acid,ref,121.033,690,16679490,674.75,697.22
MLMET0122,sample,Succinic_acid,ref,121.033,690,10294287,672.59,695.06
MLMET0091,sample,Succinic_acid,ref,121.033,690,18003538,672.5,694.96
MLMET0159,filter,Succinic_acid,ref,121.033,690,4171131,674.89,697.35
MLMET0120,sample,Succinic_acid,ref,121.033,690,14162247,675.04,697.5
RCY308_control-r001,control,Succinic_acid,ref,121.033,690,50111,672.22,694.69
MLMET0163,sample,Succinic_acid,ref,121.033,690,3581212,672.12,694.58
MLMET0162,sample,Succinic_acid,ref,121.033,690,2240779,674.93,697.39
MLMET0125,filter,Succinic_acid,ref,121.033,690,5532532,674.95,697.42
MLMET0140,sample,Succinic_acid,ref,121.033,690,3543485,672.41,694.87
MLMET0179,filter,Succinic_acid,ref,121.033,690,3585889,672.71,695.17
MLMET0123,sample,Succinic_acid,ref,121.033,690,8402697,675.08,697.55
MLMET0066,filter,Succinic_acid,ref,121.033,690,22599833,675.09,697.56
Blank-r001,blank,Succinic_acid,ref,121.033,690,55708,671.94,694.4
MLMET0184,sample,Succinic_acid,ref,121.033,690,3770897,672.06,694.53
MLMET0141,sample,Succinic_acid,ref,121.033,690,3419765,674.73,697.19
