sampleName;sampleClass;featureName;featureClass;mzCenter;rtCenter;maxIntensity;integratedIntensity;startRT;endRT
20181010_MLMET0071.d;sample;Succinic_semialdehyde;met;101.024;312.48;21092;21092;290.14;343.56
20181010_MLMET0141.d;sample;Succinic_semialdehyde;met;101.024;312.48;5770;5770;290.31;343.73
20181010_all_stds-r001.d;stds;Succinic_semialdehyde;met;101.024;312.48;4714;4714;290.31;343.73
20181010_MLMET0120.d;sample;Succinic_semialdehyde;met;101.024;312.48;11827;11827;290.13;343.55
20181010_MLMET0075.d;sample;Succinic_semialdehyde;met;101.024;312.48;12101;12101;288.63;342.05
20181010_MLMET0163.d;sample;Succinic_semialdehyde;met;101.024;312.48;4437;4437;288.7;342.12
20181010_MLMET0070.d;sample;Succinic_semialdehyde;met;101.024;312.48;22824;22824;287.76;341.18
20181010_MLMET0118.d;sample;Succinic_semialdehyde;met;101.024;312.48;7362;7362;287.64;341.06
20181010_MLMET0161.d;sample;Succinic_semialdehyde;met;101.024;312.48;3811;3811;290.2;343.61
20181010_MLMET0140.d;sample;Succinic_semialdehyde;met;101.024;312.48;4859;4859;289.99;343.41
20181010_MLMET0068.d;sample;Succinic_semialdehyde;met;101.024;312.48;7134;7134;282.6;336.01
20181010_MLMET0135.d;filter;Succinic_semialdehyde;met;101.024;312.48;4954;4954;282.48;335.9
20181010_MLMET0073.d;sample;Succinic_semialdehyde;met;101.024;312.48;38961;38961;284.78;338.2
20181010_MLMET0184.d;sample;Succinic_semialdehyde;met;101.024;312.48;4161;4161;284.65;338.07
20181010_MLMET0095.d;sample;Succinic_semialdehyde;met;101.024;312.48;30495;30495;282.85;336.27
20181010_MLMET0125.d;filter;Succinic_semialdehyde;met;101.024;312.48;6527;6527;283.05;336.47
20181010_MLMET0160.d;sample;Succinic_semialdehyde;met;101.024;312.48;3977;3977;284.98;338.4
20181010_RCY308_control-r002.d;control;Succinic_semialdehyde;met;101.024;312.48;5533;5533;285.34;338.76
20181010_MLMET0067.d;filter;Succinic_semialdehyde;met;101.024;312.48;6169;6169;283.42;336.84
20181010_MLMET0185.d;sample;Succinic_semialdehyde;met;101.024;312.48;3401;3401;283.43;336.85
20181010_MLMET0142.d;sample;Succinic_semialdehyde;met;101.024;312.48;4201;4201;285.11;338.53
20181010_MLMET0144.d;filter;Succinic_semialdehyde;met;101.024;312.48;5367;5367;285.27;338.69
20181010_MLMET0074.d;sample;Succinic_semialdehyde;met;101.024;312.48;33246;33246;284.09;337.51
20181010_MLMET0089.d;filter;Succinic_semialdehyde;met;101.024;312.48;20790;20790;284.03;337.44
20181010_MLMET0164.d;sample;Succinic_semialdehyde;met;101.024;312.48;4284;4284;284.48;337.89
20181010_MLMET0162.d;sample;Succinic_semialdehyde;met;101.024;312.48;3645;3645;284.52;337.94
20181010_MLMET0069.d;sample;Succinic_semialdehyde;met;101.024;312.48;93516;93516;283.42;336.84
20181010_MLMET0119.d;sample;Succinic_semialdehyde;met;101.024;312.48;7328;7328;283.52;336.94
20181010_MLMET0168.d;sample;Succinic_semialdehyde;met;101.024;312.48;4667;4667;285.15;338.57
20181010_MLMET0097.d;sample;Succinic_semialdehyde;met;101.024;312.48;19935;19935;284.96;338.38
20181010_MLMET0092.d;sample;Succinic_semialdehyde;met;101.024;312.48;21216;21216;286.73;340.15
20181010_MLMET0138.d;sample;Succinic_semialdehyde;met;101.024;312.48;4684;4684;286.5;339.92
20181010_Blank-r002.d;blank;Succinic_semialdehyde;met;101.024;312.48;4202;4202;286.74;340.16
20181010_MLMET0098.d;sample;Succinic_semialdehyde;met;101.024;312.48;10526;10526;286.66;340.08
20181010_MLMET0167.d;sample;Succinic_semialdehyde;met;101.024;312.48;3654;3654;286.71;340.12
20181010_MLMET0124.d;sample;Succinic_semialdehyde;met;101.024;312.48;7491;7491;286.57;339.99
20181010_MLMET0183.d;sample;Succinic_semialdehyde;met;101.024;312.48;6445;6445;285.86;339.27
20181010_MLMET0091.d;sample;Succinic_semialdehyde;met;101.024;312.48;50634;50634;286.09;339.51
20181010_MLMET0094.d;sample;Succinic_semialdehyde;met;101.024;312.48;7772;7772;284.42;337.84
20181010_MLMET0123.d;sample;Succinic_semialdehyde;met;101.024;312.48;7899;7899;284.68;338.1
20181010_MLMET0159.d;filter;Succinic_semialdehyde;met;101.024;312.48;9660;9660;286.48;339.9
20181010_Blank-r001.d;blank;Succinic_semialdehyde;met;101.024;312.48;4209;4209;286.52;339.94
20181010_MLMET0066.d;filter;Succinic_semialdehyde;met;101.024;312.48;6429;6429;286.19;339.6
20181010_MLMET0143.d;sample;Succinic_semialdehyde;met;101.024;312.48;5405;5405;286.31;339.72
20181010_MLMET0187.d;sample;Succinic_semialdehyde;met;101.024;312.48;4476;4476;286.87;340.29
20181010_MLMET0072.d;sample;Succinic_semialdehyde;met;101.024;312.48;73488;73488;286.96;340.38
20181010_MLMET0122.d;sample;Succinic_semialdehyde;met;101.024;312.48;6006;6006;285.69;339.1
20181010_MLMET0090.d;filter;Succinic_semialdehyde;met;101.024;312.48;10983;10983;285.53;338.95
20181010_MLMET0096.d;sample;Succinic_semialdehyde;met;101.024;312.48;20425;20425;285.81;339.23
20181010_MLMET0121.d;sample;Succinic_semialdehyde;met;101.024;312.48;8987;8987;285.47;338.89
20181010_MLMET0139.d;sample;Succinic_semialdehyde;met;101.024;312.48;3889;3889;284.75;338.17
20181010_MLMET0178.d;filter;Succinic_semialdehyde;met;101.024;312.48;5350;5350;284.81;338.23
20181010_MLMET0116.d;filter;Succinic_semialdehyde;met;101.024;312.48;5544;5544;286.42;339.84
20181010_MLMET0166.d;sample;Succinic_semialdehyde;met;101.024;312.48;5016;5016;286.64;340.05
20181010_MLMET0186.d;sample;Succinic_semialdehyde;met;101.024;312.48;3648;3648;285.62;339.04
20181010_RCY308_control-r001.d;control;Succinic_semialdehyde;met;101.024;312.48;5674;5674;285.81;339.23
20181010_MLMET0165.d;sample;Succinic_semialdehyde;met;101.024;312.48;5175;5175;286.65;340.07
20181010_MLMET0136.d;sample;Succinic_semialdehyde;met;101.024;312.48;6574;6574;286.69;340.1
20181010_MLMET0117.d;filter;Succinic_semialdehyde;met;101.024;312.48;4974;4974;284.38;337.8
20181010_MLMET0181.d;sample;Succinic_semialdehyde;met;101.024;312.48;4609;4609;284.73;338.14
20181010_all_stds-r002.d;stds;Succinic_semialdehyde;met;101.024;312.48;4472;4472;286.41;339.83
20181010_MLMET0180.d;sample;Succinic_semialdehyde;met;101.024;312.48;4184;4184;286.73;340.15
20181010_MLMET0093.d;sample;Succinic_semialdehyde;met;101.024;312.48;15554;15554;286.06;339.48
