sampleName,Mutant,Contents,KCN,Rot,Time..hrs.,Replicate,Portion
MLMET0068,N2,M9,0KCN,0Rot,6,1,Pellet
MLMET0070,N2,300µM KCN,2KCN,0Rot,6,1,Pellet
MLMET0072,kynu1,M9,0KCN,0Rot,6,1,Pellet
MLMET0074,kynu1,300µM KCN,2KCN,0Rot,6,1,Pellet
MLMET0077,N2,M9,0KCN,0Rot,6,1,Supernatant
MLMET0079,N2,300µM KCN,2KCN,0Rot,6,1,Supernatant
MLMET0081,kynu1,M9,0KCN,0Rot,6,1,Supernatant
MLMET0083,kynu1,300µM KCN,2KCN,0Rot,6,1,Supernatant
MLMET0091,N2,M9,0KCN,0Rot,6,2,Pellet
MLMET0093,N2,300µM KCN,2KCN,0Rot,6,2,Pellet
MLMET0095,kynu1,M9,0KCN,0Rot,6,2,Pellet
MLMET0097,kynu1,300µM KCN,2KCN,0Rot,6,2,Pellet
MLMET0100,N2,M9,0KCN,0Rot,6,2,Supernatant
MLMET0102,N2,300µM KCN,2KCN,0Rot,6,2,Supernatant
MLMET0104,kynu1,M9,0KCN,0Rot,6,2,Supernatant
MLMET0106,kynu1,300µM KCN,2KCN,0Rot,6,2,Supernatant
MLMET0118,N2,M9,0KCN,0Rot,6,3,Pellet
MLMET0166,N2,300µM KCN,2KCN,0Rot,6,3,Pellet
MLMET0121,kynu1,M9,0KCN,0Rot,6,3,Pellet
MLMET0123,kynu1,300µM KCN,2KCN,0Rot,6,3,Pellet
MLMET0127,N2,M9,0KCN,0Rot,6,3,Supernatant
MLMET0129,N2,300µM KCN,2KCN,0Rot,6,3,Supernatant
MLMET0131,kynu1,M9,0KCN,0Rot,6,3,Supernatant
MLMET0133,kynu1,300µM KCN,2KCN,0Rot,6,3,Supernatant
MLMET0136,N2,M9,0KCN,0Rot,6,4,Pellet
MLMET0138,N2,300µM KCN,2KCN,0Rot,6,4,Pellet
MLMET0140,kynu1,M9,0KCN,0Rot,6,4,Pellet
MLMET0142,kynu1,300µM KCN,2KCN,0Rot,6,4,Pellet
MLMET0146,N2,M9,0KCN,0Rot,6,4,Supernatant
MLMET0148,N2,300µM KCN,2KCN,0Rot,6,4,Supernatant
MLMET0150,kynu1,M9,0KCN,0Rot,6,4,Supernatant
MLMET0152,kynu1,300µM KCN,2KCN,0Rot,6,4,Supernatant
MLMET0160,N2,M9,0KCN,0Rot,6,5,Pellet
MLMET0162,N2,300µM KCN,2KCN,0Rot,6,5,Pellet
MLMET0164,kynu1,M9,0KCN,0Rot,6,5,Pellet
MLMET0167,kynu1,300µM KCN,2KCN,0Rot,6,5,Pellet
MLMET0170,N2,M9,0KCN,0Rot,6,5,Supernatant
MLMET0172,N2,300µM KCN,2KCN,0Rot,6,5,Supernatant
MLMET0174,kynu1,M9,0KCN,0Rot,6,5,Supernatant
MLMET0176,kynu1,300µM KCN,2KCN,0Rot,6,5,Supernatant
MLMET0180,N2,M9,0KCN,0Rot,6,6,Pellet
MLMET0182,N2,300µM KCN,2KCN,0Rot,6,6,Pellet
MLMET0184,kynu1,M9,0KCN,0Rot,6,6,Pellet
MLMET0186,kynu1,300µM KCN,2KCN,0Rot,6,6,Pellet
MLMET0189,N2,M9,0KCN,0Rot,6,6,Supernatant
MLMET0191,N2,300µM KCN,2KCN,0Rot,6,6,Supernatant
MLMET0193,kynu1,M9,0KCN,0Rot,6,6,Supernatant
MLMET0195,kynu1,300µM KCN,2KCN,0Rot,6,6,Supernatant
