normMethod;sampleName;sampleClass;featureName;featureClass;mzCenter;rtCenter;maxIntensity;integratedIntensity;startRT;endRT;oldSampleName;KEGG_ID;Mutant;Contents;KCN;Rot;Time;Replicate;Portion;norm;norm1;foldChange;form;saveName;experiment
mutantnorm;MLMET0070;sample;Succinic_semialdehyde;met;101.024;312.48;22824;22824;287.76;341.18;20181010_MLMET0070.d;00232;N2;300µM KCN;2KCN;0Rot;6;1;Pellet;4.88109495295124;3.68927074256812;-0.174281813556261;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0118;sample;Succinic_semialdehyde;met;101.024;312.48;7362;7362;287.64;341.06;20181010_MLMET0118.d;00232;N2;M9;0KCN;0Rot;6;3;Pellet;2.6967032967033;2.4249738044768;-0.779648317951613;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0140;sample;Succinic_semialdehyde;met;101.024;312.48;4859;4859;289.99;343.41;20181010_MLMET0140.d;00232;kynu1;M9;0KCN;0Rot;6;4;Pellet;1.28171986283303;1.49002205082435;-1.48228379949714;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0068;sample;Succinic_semialdehyde;met;101.024;312.48;7134;7134;282.6;336.01;20181010_MLMET0068.d;00232;N2;M9;0KCN;0Rot;6;1;Pellet;3.36668239735724;3.11728799473946;-0.417326034381014;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0184;sample;Succinic_semialdehyde;met;101.024;312.48;4161;4161;284.65;338.07;20181010_MLMET0184.d;00232;kynu1;M9;0KCN;0Rot;6;6;Pellet;1.46927966101695;1.68472342097843;-1.30510571544149;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0095;sample;Succinic_semialdehyde;met;101.024;312.48;30495;30495;282.85;336.27;20181010_MLMET0095.d;00232;kynu1;M9;0KCN;0Rot;6;2;Pellet;8.86998254799302;3.99354834361408;-0.0599463025432452;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0160;sample;Succinic_semialdehyde;met;101.024;312.48;3977;3977;284.98;338.4;20181010_MLMET0160.d;00232;N2;M9;0KCN;0Rot;6;5;Pellet;1.38861731843575;1.44650904672666;-1.52504213460596;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0142;sample;Succinic_semialdehyde;met;101.024;312.48;4201;4201;285.11;338.53;20181010_MLMET0142.d;00232;kynu1;300µM KCN;2KCN;0Rot;6;4;Pellet;1.01596130592503;1.08955144040256;-1.93388316953283;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0074;sample;Succinic_semialdehyde;met;101.024;312.48;33246;33246;284.09;337.51;20181010_MLMET0074.d;00232;kynu1;300µM KCN;2KCN;0Rot;6;1;Pellet;5.66854219948849;3.66813183008902;-0.182571991460774;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
mutantnorm;MLMET0164;sample;Succinic_semialdehyde;met;101.024;312.48;4284;4284;284.48;337.89;20181010_MLMET0164.d;00232;kynu1;M9;0KCN;0Rot;6;5;Pellet;1.64012251148545;1.27979870021765;-1.70170057448411;foldChange~KCN*Mutant;20231113_Mutant_KCN_integratedIntensity_new_norm_0.05_mutantnorm_Succinic_semialdehyde_;example
